,alpha,num_features,features_list
167,A,50,"['reducedSeq_ABBBU', 'reducedSeq_ABBJB', 'reducedSeq_ABBJJ', 'reducedSeq_ABBUB', 'reducedSeq_ABJBJ', 'reducedSeq_ABJBU', 'reducedSeq_ABJJJ', 'reducedSeq_ABJJU', 'reducedSeq_ABJUJ', 'reducedSeq_ABUJB', 'reducedSeq_ABUJU', 'reducedSeq_ABUUU', 'reducedSeq_AJJJJ', 'reducedSeq_AJJJU', 'reducedSeq_AJUBB', 'reducedSeq_AJUJU', 'reducedSeq_AJUUB', 'reducedSeq_AJUUJ', 'reducedSeq_AUBUB', 'reducedSeq_AUBUJ', 'reducedSeq_AUJUJ', 'reducedSeq_AUUBJ', 'reducedSeq_AUUBU', 'A_BBB', 'A_BBJ', 'A_BUU', 'A_JBB', 'A_JBU', 'A_JJB', 'A_JUU', 'A_UBJ', 'A_UBU', 'A_UJB', 'A_UJJ', 'A_UUJ', 'A_UUU', 'st_CCC', 'st_HCC', 'st_BCC', 'st_BBB', 'pct_C', 'pct_D', 'pct_E', 'pct_F', 'pct_G', 'pct_K', 'pct_M', 'pct_P', 'pct_R', 'pct_T']"
178,A,35,"['reducedSeq_ABBUB', 'reducedSeq_ABJBJ', 'reducedSeq_ABJBU', 'reducedSeq_ABJJB', 'reducedSeq_ABUJB', 'reducedSeq_ABUJU', 'reducedSeq_AJBBB', 'reducedSeq_AJJUU', 'reducedSeq_AJUJU', 'reducedSeq_AJUUB', 'reducedSeq_AUBJB', 'reducedSeq_AUBJJ', 'reducedSeq_AUJBB', 'reducedSeq_AUUUB', 'A_BJB', 'A_JJB', 'A_UUJ', 'A_UUU', 'st_CCC', 'st_CCH', 'st_CCB', 'st_HHC', 'st_BCC', 'st_BBB', 'pct_C', 'pct_D', 'pct_E', 'pct_H', 'pct_I', 'pct_K', 'pct_M', 'pct_Q', 'pct_R', 'pct_V', 'pct_W']"
127,B,50,"['reducedSeq_BBBBB', 'reducedSeq_BBBUU', 'reducedSeq_BBJBB', 'reducedSeq_BBJJB', 'reducedSeq_BBJUJ', 'reducedSeq_BJBBB', 'reducedSeq_BJJUB', 'reducedSeq_BJUBB', 'reducedSeq_BJUJB', 'reducedSeq_BJUJU', 'reducedSeq_BUJBU', 'reducedSeq_BUJJJ', 'reducedSeq_BUUBJ', 'reducedSeq_BUUUJ', 'B_BBB', 'B_BBU', 'B_BJJ', 'B_BJU', 'B_BUB', 'B_BUU', 'B_JBU', 'B_JUJ', 'B_JUU', 'B_UBJ', 'B_UJU', 'B_UUJ', 'B_UUU', 'st_CCC', 'st_CCB', 'st_CBB', 'st_HCC', 'st_HCH', 'st_HHC', 'st_BCC', 'st_BBB', 'pct_A', 'pct_C', 'pct_D', 'pct_E', 'pct_F', 'pct_G', 'pct_H', 'pct_K', 'pct_L', 'pct_M', 'pct_N', 'pct_P', 'pct_R', 'pct_T', 'pct_V']"
126,B,35,"['reducedSeq_BBBBB', 'reducedSeq_BBBUU', 'reducedSeq_BJBJJ', 'reducedSeq_BJJJB', 'reducedSeq_BJJUB', 'reducedSeq_BJUBB', 'reducedSeq_BJUJB', 'reducedSeq_BJUJU', 'reducedSeq_BUJBJ', 'reducedSeq_BUUBJ', 'reducedSeq_BUUUJ', 'B_BJU', 'B_BUB', 'B_BUU', 'B_JBU', 'B_JUJ', 'B_JUU', 'B_UBJ', 'B_UJU', 'B_UUJ', 'st_CCC', 'st_CCB', 'st_HCC', 'st_BCC', 'st_BBB', 'pct_C', 'pct_D', 'pct_E', 'pct_F', 'pct_G', 'pct_H', 'pct_K', 'pct_M', 'pct_T', 'pct_V']"
132,B,15,"['reducedSeq_BBBBB', 'reducedSeq_BJUJB', 'reducedSeq_BUJBJ', 'B_JUJ', 'B_UJJ', 'st_CCC', 'st_CCB', 'st_BBB', 'pct_C', 'pct_D', 'pct_E', 'pct_K', 'pct_L', 'pct_M', 'pct_T']"
65,B,25,"['B_BBJ', 'B_BUB', 'B_BUU', 'B_JUU', 'st_CCC', 'st_CCB', 'st_HCC', 'st_HHH', 'st_BCC', 'st_BBC', 'st_BBB', 'pct_C', 'pct_D', 'pct_E', 'pct_F', 'pct_G', 'pct_K', 'pct_L', 'pct_M', 'pct_N', 'pct_Q', 'pct_R', 'pct_T', 'pct_V', 'pct_W']"
25,D,25,"['st_CCC', 'st_CCH', 'st_CCB', 'st_CHH', 'st_HCC', 'st_HHH', 'st_BCC', 'st_BBC', 'st_BBB', 'pct_C', 'pct_D', 'pct_E', 'pct_F', 'pct_G', 'pct_H', 'pct_I', 'pct_K', 'pct_L', 'pct_M', 'pct_Q', 'pct_R', 'pct_T', 'pct_V', 'pct_W', 'pct_Y']"
5,E,25,"['st_CCC', 'st_CCB', 'st_CHH', 'st_CBB', 'st_HCC', 'st_HHH', 'st_BCC', 'st_BBC', 'st_BBB', 'pct_C', 'pct_D', 'pct_E', 'pct_F', 'pct_G', 'pct_H', 'pct_I', 'pct_K', 'pct_L', 'pct_M', 'pct_Q', 'pct_R', 'pct_T', 'pct_V', 'pct_W', 'pct_Y']"
165,A,25,"['reducedSeq_ABJBJ', 'reducedSeq_ABJBU', 'reducedSeq_ABJUJ', 'reducedSeq_ABUJB', 'reducedSeq_ABUUU', 'reducedSeq_AJJJJ', 'reducedSeq_AJJJU', 'reducedSeq_AJUUB', 'reducedSeq_AUJUJ', 'reducedSeq_AUUBJ', 'reducedSeq_AUUBU', 'A_BBB', 'A_BBJ', 'A_JBB', 'st_CCC', 'st_BCC', 'pct_C', 'pct_D', 'pct_E', 'pct_F', 'pct_G', 'pct_K', 'pct_M', 'pct_R', 'pct_T']"
11,E,50,"['reducedSeq_EBJBU', 'reducedSeq_EBUBB', 'reducedSeq_EJJJJ', 'reducedSeq_EJJUB', 'reducedSeq_EUBJB', 'reducedSeq_EUJJB', 'E_BBB', 'E_BJJ', 'E_BUB', 'E_BUJ', 'E_BUU', 'E_JBB', 'E_JBJ', 'E_JBU', 'E_JJJ', 'E_JUB', 'E_UBB', 'E_UBJ', 'E_UBU', 'st_CCC', 'st_CCH', 'st_CCB', 'st_CHH', 'st_CBB', 'st_HCC', 'st_HHC', 'st_HHH', 'st_BCC', 'st_BBC', 'st_BBB', 'pct_A', 'pct_C', 'pct_D', 'pct_E', 'pct_F', 'pct_G', 'pct_H', 'pct_I', 'pct_K', 'pct_L', 'pct_M', 'pct_N', 'pct_P', 'pct_Q', 'pct_R', 'pct_S', 'pct_T', 'pct_V', 'pct_W', 'pct_Y']"
